City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,hithadhoo,-0.6,73.0833,301.15,74,95,5.13,MV,1737737593
225,kapuskasing,49.4169,-82.4331,256.2,71,20,5.66,CA,1737737594
226,kavaratti,10.5669,72.642,300.8,73,100,2.53,IN,1737737595
227,el calafate,-50.3408,-72.2768,286.81,63,87,5.98,AR,1737737596
228,gorom-gorom,14.4439,-0.2361,304.75,7,100,4.19,BF,1737737598
229,isna,25.2934,32.554,292.56,24,0,5.28,EG,1737737599
230,shambu,9.5667,37.1,287.89,35,66,0.6,ET,1737737600
231,bikenibeu village,1.3673,173.1241,299.13,89,20,5.14,KI,1737737601
232,namie,37.4833,141.0,275.92,81,98,1.57,JP,1737737604
233,necochea,-38.5473,-58.7368,298.19,51,60,9.9,AR,1737737605
234,tubarjal,30.4999,38.216,286.44,50,40,3.5,SA,1737737606
235,callao,-12.0667,-77.15,296.31,73,20,4.12,PE,1737737607
236,portland,45.5234,-122.6762,275.48,93,20,1.54,US,1737737452
237,zheleznodorozhnyy,55.7503,38.0042,270.9,84,15,2.44,RU,1737737609
238,kenora,49.8167,-94.4337,258.69,85,100,6.71,CA,1737737610
239,tharangambadi,11.0319,79.8528,296.88,75,68,3.56,IN,1737737612
240,mkushi,-13.6202,29.3939,291.7,97,99,2.14,ZM,1737737613
241,weno,7.4515,151.8468,300.12,89,100,2.06,FM,1737737614
242,talara,-4.5772,-81.2719,300.57,50,0,8.23,PE,1737737615
243,hovd,48.0056,91.6419,250.47,61,77,4.37,MN,1737737616
244,hotan,37.0997,79.9269,270.18,33,0,2.45,CN,1737737617
245,muang phonsavan,19.45,103.2167,286.47,72,3,0.85,LA,1737737618
246,saldanha,-33.0117,17.9442,297.18,89,36,7.64,ZA,1737737620
247,tazovsky,67.4667,78.7,254.2,96,100,5.29,RU,1737737621
248,tahe,52.3333,124.7333,250.28,100,88,0.83,CN,1737737622
249,kingston,17.997,-76.7936,303.8,58,40,4.63,JM,1737737623
250,malango,-2.9627,119.9001,293.25,99,100,0.72,ID,1737737624
251,saint-jean-de-monts,46.7833,-2.0667,286.11,73,100,10.96,FR,1737737625
252,haiku-pauwela,20.9219,-156.3051,291.42,90,20,3.58,US,1737737626
253,dawson creek,55.7666,-120.2362,269.95,59,75,4.12,CA,1737737628
254,badulla,6.9895,81.0557,292.64,97,99,1.71,LK,1737737629
255,qui nhon,13.7667,109.2333,292.38,86,100,1.44,VN,1737737630
256,korla,41.7597,86.1469,264.23,61,47,4.65,CN,1737737631
257,banda aceh,5.5577,95.3222,297.52,91,100,3.84,ID,1737737632
258,kerman,30.2832,57.0788,278.07,38,0,0.0,IR,1737737634
259,miguel ahumada,30.6167,-106.5167,277.48,21,53,3.2,MX,1737737635
260,ta`u,-14.2336,-169.5144,300.83,78,53,7.81,AS,1737737636
261,trinidad,-14.8333,-64.9,303.14,70,40,3.09,BO,1737737637
262,lazaro cardenas,17.9583,-102.2,301.66,48,1,1.95,MX,1737737638
263,minbu,20.1833,94.8833,294.2,39,26,1.57,MM,1737737639
264,illizi,26.4833,8.4667,295.55,9,14,3.77,DZ,1737737641
265,fale old settlement,-9.3852,-171.2468,301.21,76,15,8.71,TK,1737737642
266,vicuna,-30.0319,-70.7081,306.91,26,0,3.58,CL,1737737643
267,ad dawadimi,24.5077,44.3924,292.79,29,40,4.03,SA,1737737644
268,fernie,49.5,-115.0687,261.6,92,53,0.95,CA,1737737645
269,neryungri,56.6709,124.6491,255.25,99,100,1.37,RU,1737737624
270,oppdal,62.5943,9.6912,266.64,91,82,6.47,NO,1737737648
271,ashmyany,54.425,25.9378,275.14,82,100,3.4,BY,1737737649
272,nha trang,12.25,109.1833,295.15,91,92,1.38,VN,1737737650
273,es castell,39.8795,4.2854,288.53,100,0,2.06,ES,1737737651
274,kourou,5.1552,-52.6478,299.71,87,100,4.52,GF,1737737652
275,kalmunai,7.4167,81.8167,297.54,87,86,2.87,LK,1737737653
276,okha,53.5739,142.9478,251.5,100,64,2.65,RU,1737737654
277,childress,34.4264,-100.204,276.29,38,0,8.23,US,1737737656
278,colonia,50.9333,6.95,283.28,85,100,5.66,DE,1737737657
279,fort st. john,56.2499,-120.8529,267.09,63,40,3.09,CA,1737737611
280,novi sad,45.2517,19.8369,278.3,85,83,1.1,RS,1737737659
281,tavda,58.0425,65.2726,264.83,89,100,5.33,RU,1737737660
282,grande prairie,55.1667,-118.8027,271.25,64,75,6.17,CA,1737737661
283,klyuchi,52.2667,79.1667,249.71,85,78,5.19,RU,1737737663
284,pula,44.8683,13.8481,283.46,87,100,1.54,HR,1737737664
285,amlame,7.4667,0.9,307.88,22,28,1.95,TG,1737737665
286,irymple,-34.25,142.1667,290.42,54,91,0.89,AU,1737737666
287,tadine,-21.55,167.8833,299.4,86,96,1.35,NC,1737737667
288,lesparre-medoc,45.3,-0.9333,287.61,65,100,6.08,FR,1737737668
289,bantay,17.5847,120.3892,297.11,87,6,2.68,PH,1737737669
290,urangan,-25.3,152.9,298.6,82,100,5.5,AU,1737737671
291,inarajan village,13.2736,144.7484,299.7,84,64,6.64,GU,1737737672
292,lata,40.1629,-8.3327,286.75,69,100,4.2,PT,1737737673
293,bria,6.5423,21.9863,302.4,15,0,1.67,CF,1737737674
294,egilsstadir,65.2653,-14.3948,276.1,75,75,5.14,IS,1737737675
295,solleftea,63.1667,17.2667,273.07,95,95,2.35,SE,1737737676
296,nikol'sk,53.7189,46.0712,261.22,96,100,2.63,RU,1737737678
297,puerto gaitan,4.3133,-72.0816,302.46,51,96,4.29,CO,1737737679
298,kegen,43.0197,79.2203,250.08,83,10,2.91,KZ,1737737680
299,ladario,-19.0047,-57.6017,308.31,43,40,4.12,BR,1737737681
300,sosnovo-ozerskoye,52.5249,111.5418,256.34,88,100,3.14,RU,1737737682
301,gazojak,41.1875,61.4036,272.57,44,100,4.95,TM,1737737683
302,isla vista,34.4133,-119.861,293.4,22,37,1.56,US,1737737684
303,hamina,60.5697,27.1979,275.55,89,99,5.95,FI,1737737686
304,stornoway,58.2093,-6.3865,279.87,92,75,5.14,GB,1737737687
305,sitka,57.0531,-135.33,280.09,81,100,5.14,US,1737737688
306,khadzhalmakhi,42.42,47.1821,274.92,90,100,0.83,RU,1737737689
307,cooma,-36.2333,149.1333,282.59,87,0,0.32,AU,1737737690
308,susuman,62.7833,148.1667,236.12,100,78,1.03,RU,1737737691
309,muntok,-2.0667,105.1833,299.0,88,95,3.5,ID,1737737693
310,arraial do cabo,-22.9661,-42.0278,304.13,70,40,7.72,BR,1737737694
311,valparaiso,-33.0393,-71.6273,304.28,40,0,6.17,CL,1737737695
312,puerto deseado,-47.7503,-65.8938,294.59,30,6,8.28,AR,1737737696
313,chunskiy,56.0815,99.6342,250.47,89,100,4.03,RU,1737737697
314,vorgashor,67.5833,63.95,252.22,100,96,1.47,RU,1737737698
315,taroa,8.7058,171.2275,299.69,77,93,9.98,MH,1737737699
316,kudat,6.8837,116.8477,298.31,94,44,1.54,MY,1737737701
317,maevatanana,-13.8831,48.5289,297.32,98,92,0.57,MG,1737737702
318,kembe,4.6228,21.8865,301.74,19,88,1.23,CF,1737737703
319,tambacounda,13.7539,-13.7586,310.18,20,0,2.06,SN,1737737704
320,boyolangu,-8.1181,111.8935,297.56,92,100,0.71,ID,1737737705
321,iwanai,42.9744,140.5089,273.19,92,76,2.32,JP,1737737706
322,horta,38.5333,-28.6333,287.95,80,40,9.26,PT,1737737707
323,nikolayevsk-on-amure,53.1406,140.73,252.73,99,65,1.71,RU,1737737709
324,la ronge,55.1001,-105.2842,267.29,79,100,10.8,CA,1737737710
325,quintanar del rey,39.3382,-1.9389,286.27,62,0,5.53,ES,1737737711
326,baijiantan,45.6333,85.1833,256.19,82,100,5.18,CN,1737737712
327,nago,26.5881,127.9761,291.32,90,19,3.3,JP,1737737713
328,lompoc,34.6391,-120.4579,289.34,34,20,1.54,US,1737737714
329,happy valley-goose bay,53.3168,-60.3315,259.32,51,75,5.66,CA,1737737716
330,cannonvale,-20.2833,148.7,298.81,83,73,2.65,AU,1737737718
331,kzyltu,53.6364,72.3414,256.72,75,100,6.69,KZ,1737737720
332,cardigan,52.0847,-4.6591,279.2,72,75,5.59,GB,1737737721
333,guerrero negro,27.9769,-114.0611,290.49,13,3,0.34,MX,1737737722
334,hasaki,35.7333,140.8333,282.33,85,99,8.46,JP,1737737723
335,la union,-5.4,-80.75,303.22,41,61,3.26,PE,1737737724
336,labuan,5.2767,115.2417,297.35,100,75,0.0,MY,1737737726
337,aldama,22.9167,-98.0667,284.97,41,100,2.6,MX,1737737728
338,chonchi,-42.6128,-73.8092,291.1,50,89,0.93,CL,1737737729
339,nouadhibou,20.931,-17.0347,295.14,60,0,8.75,MR,1737737730
340,wuyang,31.9925,116.2472,279.75,91,100,5.23,CN,1737737731
341,sleman,-7.7156,110.3556,296.4,93,100,2.37,ID,1737737732
342,bubaque,11.2833,-15.8333,297.55,67,24,6.85,GW,1737737733
343,whitby,54.4877,-0.615,280.03,64,43,5.81,GB,1737737734
344,marbella,36.5154,-4.8858,289.74,70,0,1.53,ES,1737737736
345,cassilandia,-19.1133,-51.7342,307.59,43,76,1.33,BR,1737737737
346,thunder bay,48.4001,-89.3168,251.14,77,75,2.06,CA,1737737738
347,plav,42.5969,19.9456,279.73,94,90,1.01,ME,1737737739
348,cotton ground,17.1667,-62.6167,301.5,78,75,7.2,KN,1737737740
349,tidjikja,18.5564,-11.4271,305.54,9,51,1.34,MR,1737737741
350,suzemka,52.3178,34.0689,273.22,98,100,2.92,RU,1737737743
351,kousa,25.9141,32.7636,296.2,21,0,4.32,EG,1737737744
352,buta,2.7858,24.73,300.49,31,46,0.29,CD,1737737745
353,pimentel,-6.8367,-79.9342,297.31,69,0,5.14,PE,1737737746
354,bandarbeyla,9.4942,50.8122,296.6,70,18,10.19,SO,1737737747
355,tomah,43.9786,-90.504,260.03,66,0,0.0,US,1737737748
356,kusheriki,10.5328,6.4422,306.57,13,53,3.33,NG,1737737750
357,sao felix do xingu,-6.6447,-51.995,303.58,60,56,1.22,BR,1737737751
358,al jahra',29.3375,47.6581,289.73,47,33,3.72,KW,1737737752
359,fang,19.9169,99.2145,290.04,53,2,0.84,TH,1737737753
360,fort mcmurray,56.7268,-111.381,266.92,67,100,9.77,CA,1737737501
361,afif,23.9065,42.9172,292.84,34,26,3.28,SA,1737737755
362,anadyr,64.75,177.4833,247.59,75,100,14.75,RU,1737737756
363,cadillac,44.2519,-85.4012,263.1,85,100,3.6,US,1737737758
